Fly,Light,Value,Genotype
5,On,0.151664962,OK371 KCR1GS
5,Off,1.149925197,OK371 KCR1GS
6,On,0.365047526,OK371 KCR1GS
6,Off,3.302908295,OK371 KCR1GS
7,On,0.340589616,OK371 KCR1GS
7,Off,0.119773686,OK371 KCR1GS
8,On,0.283847245,OK371 KCR1GS
8,Off,4.041124886,OK371 KCR1GS
9,On,0.09344733,OK371 KCR1GS
9,Off,0.00622404,OK371 KCR1GS
10,On,0.111478077,OK371 KCR1GS
10,Off,0.706605638,OK371 KCR1GS
11,On,0.141076883,OK371 KCR1GS
11,Off,0.697320841,OK371 KCR1GS
12,On,0.200056764,OK371 KCR1GS
12,Off,3.059773678,OK371 KCR1GS
13,On,0.129018341,OK371 KCR1GS
13,Off,0.422941401,OK371 KCR1GS
14,On,0.180044191,OK371 KCR1GS
14,Off,0.108101428,OK371 KCR1GS
15,On,0.144665169,OK371 KCR1GS
15,Off,1.556465709,OK371 KCR1GS
16,On,0.097259262,OK371 KCR1GS
16,Off,0.52046822,OK371 KCR1GS
17,On,0.102403076,OK371 KCR1GS
17,Off,1.534231378,OK371 KCR1GS
18,On,0.540755322,OK371 KCR1GS
18,Off,2.759885911,OK371 KCR1GS
20,On,0.136284202,OK371 KCR1GS
20,Off,0.084371127,OK371 KCR1GS
21,On,0.097500127,OK371 KCR1GS
21,Off,2.37099993,OK371 KCR1GS
22,On,0.127538554,OK371 KCR1GS
22,Off,4.182858617,OK371 KCR1GS
23,On,0.090354956,OK371 KCR1GS
23,Off,0.143889356,OK371 KCR1GS
24,On,0.187389295,OK371 KCR1GS
24,Off,0.274344674,OK371 KCR1GS
25,On,0.18277923,OK371 KCR1GS
25,Off,0.367600759,OK371 KCR1GS
26,On,0.141440949,OK371 KCR1GS
26,Off,0.050678387,OK371 KCR1GS
27,On,0.085525481,OK371 KCR1GS
27,Off,0.008885379,OK371 KCR1GS
28,On,0.140526591,OK371 KCR1GS
28,Off,0.016008047,OK371 KCR1GS
29,On,0.135578458,OK371 KCR1GS
29,Off,1.644740902,OK371 KCR1GS
30,On,0.200536712,OK371 KCR1GS
30,Off,2.343036978,OK371 KCR1GS
31,On,0.134012578,OK371 KCR1GS
31,Off,0.036034931,OK371 KCR1GS
32,On,0.375943913,OK371 KCR1GS
32,Off,2.933446833,OK371 KCR1GS
33,On,0.144297677,OK371 KCR1GS
33,Off,1.196027783,OK371 KCR1GS
34,On,0.120878564,OK371 KCR1GS
34,Off,0.010209565,OK371 KCR1GS
35,On,0.093444974,OK371 KCR1GS
35,Off,0.388551971,OK371 KCR1GS
36,On,0.444040953,OK371 KCR1GS
36,Off,1.811768643,OK371 KCR1GS
37,On,0.086395498,OK371 KCR1GS
37,Off,0.107716739,OK371 KCR1GS
38,On,0.247442714,OK371 KCR1GS
38,Off,0.342319236,OK371 KCR1GS
39,On,0.409747669,OK371 KCR1GS
39,Off,0.27642863,OK371 KCR1GS
41,On,0.080097841,OK371 KCR1GS
41,Off,0.090016485,OK371 KCR1GS
42,On,0.086442298,OK371 KCR1GS
42,Off,0.074715903,OK371 KCR1GS
43,On,0.28204521,OK371 KCR1GS
43,Off,0.101934835,OK371 KCR1GS
44,On,0.264506253,OK371 KCR1GS
44,Off,1.088963369,OK371 KCR1GS
45,On,0.034547716,OK371 KCR1GS
45,Off,0.047554922,OK371 KCR1GS
46,On,0.082074259,OK371 KCR1GS
46,Off,1.710308432,OK371 KCR1GS
47,On,0.389953016,OK371 KCR1GS
47,Off,0.055100093,OK371 KCR1GS
48,On,0.129486994,OK371 KCR1GS
48,Off,0.357273889,OK371 KCR1GS
49,On,0.100487876,OK371 KCR1GS
49,Off,0.418076826,OK371 KCR1GS
