Fly,Light,Value,Genotype
30,Off,1.078337816,UAS-KCR1OPT
31,On,1.739288787,UAS-KCR1OPT
31,Off,0.742436059,UAS-KCR1OPT
32,On,1.786483104,UAS-KCR1OPT
32,Off,2.143902218,UAS-KCR1OPT
33,On,2.780137043,UAS-KCR1OPT
33,Off,0.732900668,UAS-KCR1OPT
34,On,1.178104575,UAS-KCR1OPT
34,Off,0.158397512,UAS-KCR1OPT
35,On,0.80107688,UAS-KCR1OPT
35,Off,1.489361145,UAS-KCR1OPT
36,On,1.246949167,UAS-KCR1OPT
36,Off,0.77764948,UAS-KCR1OPT
37,On,0.425235356,UAS-KCR1OPT
37,Off,0.430646954,UAS-KCR1OPT
38,On,1.564400664,UAS-KCR1OPT
38,Off,0.383763178,UAS-KCR1OPT
39,On,1.67204844,UAS-KCR1OPT
39,Off,1.079786086,UAS-KCR1OPT
40,On,1.418461885,UAS-KCR1OPT
40,Off,0.95574416,UAS-KCR1OPT
41,On,0.744132969,UAS-KCR1OPT
41,Off,0.239092847,UAS-KCR1OPT
42,On,0.585869244,UAS-KCR1OPT
42,Off,0.557944384,UAS-KCR1OPT
43,On,0.995666759,UAS-KCR1OPT
43,Off,0.51056054,UAS-KCR1OPT
44,On,1.385516092,UAS-KCR1OPT
44,Off,1.62311234,UAS-KCR1OPT
45,On,1.669696208,UAS-KCR1OPT
45,Off,0.076080607,UAS-KCR1OPT
46,On,1.264497384,UAS-KCR1OPT
46,Off,0.41510452,UAS-KCR1OPT
47,On,0.708191778,UAS-KCR1OPT
47,Off,0.21040383,UAS-KCR1OPT
48,On,0.992350748,UAS-KCR1OPT
48,Off,0.422382969,UAS-KCR1OPT
49,On,2.146541736,UAS-KCR1OPT
49,Off,1.41243749,UAS-KCR1OPT
50,On,1.762410333,UAS-KCR1OPT
50,Off,0.204283535,UAS-KCR1OPT
51,On,1.133831655,UAS-KCR1OPT
51,Off,0.203698941,UAS-KCR1OPT
52,On,1.809385952,UAS-KCR1OPT
52,Off,1.114006356,UAS-KCR1OPT
53,On,0.336164126,UAS-KCR1OPT
53,Off,0.351903843,UAS-KCR1OPT
54,On,1.884889459,UAS-KCR1OPT
54,Off,1.311755015,UAS-KCR1OPT
56,On,0.945001143,UAS-KCR1OPT
56,Off,0.278055138,UAS-KCR1OPT
57,On,0.681736202,UAS-KCR1OPT
57,Off,0.399446694,UAS-KCR1OPT
58,On,3.289994261,UAS-KCR1OPT
58,Off,3.154613729,UAS-KCR1OPT
59,On,0.53320221,UAS-KCR1OPT
59,Off,0.476554227,UAS-KCR1OPT
60,On,0.739886283,UAS-KCR1OPT
60,Off,0.284536094,UAS-KCR1OPT
61,On,1.909369697,UAS-KCR1OPT
61,Off,0.182558576,UAS-KCR1OPT
62,On,1.226410969,UAS-KCR1OPT
62,Off,0.975664932,UAS-KCR1OPT
64,On,1.706671533,UAS-KCR1OPT
64,Off,0.127424902,UAS-KCR1OPT
65,On,1.163476266,UAS-KCR1OPT
65,Off,1.269981821,UAS-KCR1OPT
0,On,2.882651416,OK371-Gal4
0,Off,1.075712947,OK371-Gal4
1,On,1.347558667,OK371-Gal4
1,Off,1.636610299,OK371-Gal4
2,On,2.29148691,OK371-Gal4
2,Off,5.128075365,OK371-Gal4
3,On,0.302634808,OK371-Gal4
3,Off,0.359829119,OK371-Gal4
4,On,1.28759132,OK371-Gal4
4,Off,0.115121363,OK371-Gal4
5,On,1.139390035,OK371-Gal4
5,Off,1.388761567,OK371-Gal4
6,On,0.66884856,OK371-Gal4
6,Off,4.160418827,OK371-Gal4
7,On,1.99491283,OK371-Gal4
7,Off,1.148565772,OK371-Gal4
8,On,2.864255358,OK371-Gal4
8,Off,1.65138623,OK371-Gal4
9,On,1.33583676,OK371-Gal4
9,Off,5.287615726,OK371-Gal4
10,On,1.857032531,OK371-Gal4
10,Off,0.178233165,OK371-Gal4
11,On,1.714202671,OK371-Gal4
11,Off,6.282985759,OK371-Gal4
12,On,0.066257952,OK371-Gal4
12,Off,0.8243084,OK371-Gal4
13,On,0.051618029,OK371-Gal4
13,Off,0.742002829,OK371-Gal4
14,On,0.287386067,OK371-Gal4
14,Off,0.983220658,OK371-Gal4
15,On,0.492570262,OK371-Gal4
15,Off,1.124604841,OK371-Gal4
16,On,0.653455795,OK371-Gal4
16,Off,1.269782951,OK371-Gal4
17,On,2.064765776,OK371-Gal4
17,Off,0.184614547,OK371-Gal4
18,On,3.411334804,OK371-Gal4
18,Off,0.591201335,OK371-Gal4
19,On,3.135173308,OK371-Gal4
19,Off,4.490335241,OK371-Gal4
20,On,0.730359323,OK371-Gal4
20,Off,1.99590651,OK371-Gal4
21,On,0.699648578,OK371-Gal4
21,Off,0.18153772,OK371-Gal4
22,On,1.135858047,OK371-Gal4
22,Off,0.75266302,OK371-Gal4
23,On,0.756981152,OK371-Gal4
23,Off,0.605850966,OK371-Gal4
24,On,1.057960974,OK371-Gal4
24,Off,2.623456229,OK371-Gal4
25,On,1.922573225,OK371-Gal4
25,Off,0.449035351,OK371-Gal4
26,On,2.698592302,OK371-Gal4
26,Off,3.597066938,OK371-Gal4
27,On,2.238204565,OK371-Gal4
27,Off,1.424566931,OK371-Gal4
28,On,0.103579702,OK371-Gal4
28,Off,0.022045288,OK371-Gal4
29,On,1.987687567,OK371-Gal4
29,Off,0.244593725,OK371-Gal4
30,On,2.785511699,OK371-Gal4
30,Off,1.030692244,OK371-Gal4
31,On,2.963896764,OK371-Gal4
31,Off,2.159768771,OK371-Gal4
32,On,1.967636703,OK371-Gal4
32,Off,2.094029517,OK371-Gal4
33,On,2.661553999,OK371-Gal4
33,Off,0.940175825,OK371-Gal4
34,On,0.556388543,OK371-Gal4
34,Off,0.039896669,OK371-Gal4
35,On,0.991205637,OK371-Gal4
35,Off,0.247360004,OK371-Gal4
36,On,0.404672869,OK371-Gal4
36,Off,0.164948542,OK371-Gal4
37,On,3.060129108,OK371-Gal4
37,Off,0.729124075,OK371-Gal4
38,On,0.015301207,OK371-Gal4
38,Off,0.757043988,OK371-Gal4
39,On,2.299363021,OK371-Gal4
39,Off,3.29106619,OK371-Gal4
40,On,2.539103415,OK371-Gal4
40,Off,3.029933073,OK371-Gal4
41,On,0.679839524,OK371-Gal4
41,Off,0.48003697,OK371-Gal4
42,On,1.617711137,OK371-Gal4
42,Off,0.16662259,OK371-Gal4
43,On,2.662173,OK371-Gal4
43,Off,0.20361341,OK371-Gal4
44,On,1.135410266,OK371-Gal4
44,Off,0.810383703,OK371-Gal4
45,On,0.76306728,OK371-Gal4
45,Off,0.278744395,OK371-Gal4
46,On,3.340676429,OK371-Gal4
46,Off,0.110495182,OK371-Gal4
47,On,2.521238084,OK371-Gal4
47,Off,1.024684715,OK371-Gal4
48,On,2.318506418,OK371-Gal4
48,Off,0.154044909,OK371-Gal4
49,On,1.23283119,OK371-Gal4
49,Off,0.098336177,OK371-Gal4
50,On,1.759463109,OK371-Gal4
50,Off,0.590299954,OK371-Gal4
51,On,1.813820584,OK371-Gal4
51,Off,0.756713315,OK371-Gal4
52,On,0.974893665,OK371-Gal4
52,Off,1.054764391,OK371-Gal4
53,On,0.203660703,OK371-Gal4
53,Off,0.096773163,OK371-Gal4
54,On,4.294188056,OK371-Gal4
54,Off,1.243789935,OK371-Gal4
55,On,3.69779527,OK371-Gal4
55,Off,1.364599037,OK371-Gal4
56,On,0.215580187,OK371-Gal4
56,Off,1.293665248,OK371-Gal4
57,On,1.493234546,OK371-Gal4
57,Off,0.17782621,OK371-Gal4
58,On,1.779004517,OK371-Gal4
58,Off,0.001615221,OK371-Gal4
59,On,0.838254501,OK371-Gal4
59,Off,0.191531506,OK371-Gal4
60,On,2.742646401,OK371-Gal4
60,Off,0.599999134,OK371-Gal4
61,On,0.377709845,OK371-Gal4
61,Off,0.007730864,OK371-Gal4
62,On,3.582752425,OK371-Gal4
62,Off,4.14971077,OK371-Gal4
63,On,3.226967025,OK371-Gal4
63,Off,0.213366604,OK371-Gal4
64,On,0.540792927,OK371-Gal4
64,Off,0.262994981,OK371-Gal4
65,On,1.242529311,OK371-Gal4
65,Off,0.536209656,OK371-Gal4
66,On,0.614285009,OK371-Gal4
66,Off,0.659191038,OK371-Gal4
67,On,0.928583095,OK371-Gal4
67,Off,0.032646187,OK371-Gal4
68,On,1.019468574,OK371-Gal4
68,Off,0.005325464,OK371-Gal4
69,On,0.573000006,OK371-Gal4
69,Off,0.085033453,OK371-Gal4
71,On,0.322247325,OK371-Gal4
71,Off,0.260121567,OK371-Gal4
72,On,0.153039557,OK371-Gal4
72,Off,0.057200002,OK371-Gal4
73,On,1.701100628,OK371-Gal4
73,Off,0.3809862,OK371-Gal4
74,On,1.637396788,OK371-Gal4
74,Off,0.762022814,OK371-Gal4
75,On,2.55566507,OK371-Gal4
75,Off,0.048530003,OK371-Gal4
